!------------------------------------------------------------!
  Date: 20191113
  Simulation name: AVY4 
  Filename:slice_onel.txt                                                                                                                                        
  Produced in mod-subroutine:  column.mod/slice                                                                                                                                      
  Written by AK September 2019
  Description:Veritcal column at x300_z555                                                                                                                          
  Data format: t  YYY  EPP   U_G   DPU   T_G   Ri                                                                                                                   
  4        234.0000000000         14.0003472608          0.8194220308          0.0000000000        272.9999370761          0.0000000000
  4        237.0000000000         14.0003472608          1.0182363932          0.0000000000        272.9999573120          0.0000000000
  4        240.0000000000         14.0003472608          0.9638766310          0.0000000000        272.9999759432          0.0000000000
  4        243.0000000000         14.0003472608          0.8414807885          0.0000000000        272.9999886622          0.0000000000
  4        246.0000000000         14.0003472608          0.7555759720          0.0000000000        272.9999954259          0.0000000000
  4        249.0000000000         14.0003472608          0.6933147417          0.0000000000        272.9999984089          0.0000000000
  4        252.0000000000         14.0003472608          0.6354691307          0.0000000000        272.9999995165          0.0000000000
  4        255.0000000000         14.0003472608          0.5731439463          0.0000000000        272.9999998695          0.0000000000
  4        258.0000000000         14.0003472608          0.5046393586          0.0000000000        272.9999999682          0.0000000000
  4        261.0000000000         14.0003472608          0.4316559859          0.0000000000        272.9999999929          0.0000000000
  4        264.0000000000         14.0003472608          0.3573353460          0.0000000000        272.9999999986          0.0000000000
  4        267.0000000000         14.0003472608          0.2859567633          0.0000000000        272.9999999997          0.0000000000
  4        270.0000000000         14.0003472608          0.2220392131          0.0000000000        273.0000000000          0.0000000000
  4        273.0000000000         14.0003472608          0.1688618104          0.0000000000        273.0000000000          0.0000000000
  4        276.0000000000         14.0003472608          0.1282744288          0.0000000000        273.0000000000          0.0000000000
  4        279.0000000000         14.0003472608          0.1006501545          0.0000000000        273.0000000000          0.0000000000
  4        282.0000000000         14.0003472608          0.0849837884          0.0000000000        273.0000000000          0.0000000000
  4        285.0000000000         14.0003472608          0.0792560380          0.0000000000        273.0000000000          0.0000000000
  4        288.0000000000         14.0003472608          0.0820278576          0.0000000000        273.0000000000          0.0000000000
  4        291.0000000000         14.0003472608          0.0912236144          0.0000000000        273.0000000000          0.0000000000
  4        294.0000000000         14.0003472608          0.1049375130          0.0000000000        273.0000000000          0.0000000000
  4        297.0000000000         14.0003472608          0.1216770290          0.0000000000        273.0000000000          0.0000000000
  4        300.0000000000         14.0003472608          0.1402662242          0.0000000000        273.0000000000          0.0000000000
  4        303.0000000000         14.0003472608          0.1597657196          0.0000000000        273.0000000000          0.0000000000
  4        306.0000000000         14.0003472608          0.1795201386          0.0000000000        273.0000000000          0.0000000000
  4        309.0000000000         14.0003472608          0.1990438240          0.0000000000        273.0000000000          0.0000000000
  4        312.0000000000         14.0003472608          0.2179917790          0.0000000000        273.0000000000          0.0000000000
  4        315.0000000000         14.0003472608          0.2361874456          0.0000000000        273.0000000000          0.0000000000
  4        318.0000000000         14.0003472608          0.2535081673          0.0000000000        273.0000000000          0.0000000000
  4        321.0000000000         14.0003472608          0.2698988716          0.0000000000        273.0000000000          0.0000000000
  4        324.0000000000         14.0003472608          0.2853630159          0.0000000000        273.0000000000          0.0000000000
  4        327.0000000000         14.0003472608          0.2999294628          0.0000000000        273.0000000000          0.0000000000
  4        330.0000000000         14.0003472608          0.3136378026          0.0000000000        273.0000000000          0.0000000000
  4        333.0000000000         14.0003472608          0.3265392692          0.0000000000        273.0000000000          0.0000000000
  4        336.0000000000         14.0003472608          0.3386942750          0.0000000000        273.0000000000          0.0000000000
  4        339.0000000000         14.0003472608          0.3501638763          0.0000000000        273.0000000000          0.0000000000
  4        342.0000000000         14.0003472608          0.3610084539          0.0000000000        273.0000000000          0.0000000000
  4        345.0000000000         14.0003472608          0.3712846162          0.0000000000        273.0000000000          0.0000000000
  4        348.0000000000         14.0003472608          0.3810313599          0.0000000000        273.0000000000          0.0000000000
  4        351.0000000000         14.0003472608          0.3902827387          0.0000000000        273.0000000000          0.0000000000
  4        354.0000000000         14.0003472608          0.3990770408          0.0000000000        273.0000000000          0.0000000000
  4        357.0000000000         14.0003472608          0.4074493822          0.0000000000        273.0000000000          0.0000000000
  4        360.0000000000         14.0003472608          0.4154344282          0.0000000000        273.0000000000          0.0000000000
  4        363.0000000000         14.0003472608          0.4230747828          0.0000000000        273.0000000000          0.0000000000
  4        366.0000000000         14.0003472608          0.4303970211          0.0000000000        273.0000000000          0.0000000000
  4        369.0000000000         14.0003472608          0.4373894927          0.0000000000        273.0000000000          0.0000000000
  4        372.0000000000         14.0003472608          0.4440375667          0.0000000000        273.0000000000          0.0000000000
  4        375.0000000000         14.0003472608          0.4503614097          0.0000000000        273.0000000000          0.0000000000
  4        378.0000000000         14.0003472608          0.4563896267          0.0000000000        273.0000000000          0.0000000000
  4        381.0000000000         14.0003472608          0.4621460137          0.0000000000        273.0000000000          0.0000000000
  4        384.0000000000         14.0003472608          0.4676447052          0.0000000000        273.0000000000          0.0000000000
  4        387.0000000000         14.0003472608          0.4728854945          0.0000000000        273.0000000000          0.0000000000
  4        390.0000000000         14.0003472608          0.4778637395          0.0000000000        273.0000000000          0.0000000000
  4        393.0000000000         14.0003472608          0.4825863738          0.0000000000        273.0000000000          0.0000000000
  4        396.0000000000         14.0003472608          0.4870621792          0.0000000000        273.0000000000          0.0000000000
  4        399.0000000000         14.0003472608          0.4913012954          0.0000000000        273.0000000000          0.0000000000
  4        402.0000000000         14.0003472608          0.4953083800          0.0000000000        273.0000000000          0.0000000000
  4        405.0000000000         14.0003472608          0.4990843787          0.0000000000        273.0000000000          0.0000000000
  4        408.0000000000         14.0003472608          0.5026321553          0.0000000000        273.0000000000          0.0000000000
  4        411.0000000000         14.0003472608          0.5059564354          0.0000000000        273.0000000000          0.0000000000
  4        414.0000000000         14.0003472608          0.5090599958          0.0000000000        273.0000000000          0.0000000000
  4        417.0000000000         14.0003472608          0.5119479348          0.0000000000        273.0000000000          0.0000000000
  4        420.0000000000         14.0003472608          0.5146242463          0.0000000000        273.0000000000          0.0000000000
  4        423.0000000000         14.0003472608          0.5170860942          0.0000000000        273.0000000000          0.0000000000
  4        426.0000000000         14.0003472608          0.5193356405          0.0000000000        273.0000000000          0.0000000000
  4        429.0000000000         14.0003472608          0.5213772136          0.0000000000        273.0000000000          0.0000000000
  4        432.0000000000         14.0003472608          0.5232120567          0.0000000000        273.0000000000          0.0000000000
  4        435.0000000000         14.0003472608          0.5248374846          0.0000000000        273.0000000000          0.0000000000
  4        438.0000000000         14.0003472608          0.5262617604          0.0000000000        273.0000000000          0.0000000000
  4        441.0000000000         14.0003472608          0.5274807784          0.0000000000        273.0000000000          0.0000000000
  4        444.0000000000         14.0003472608          0.5284940201          0.0000000000        273.0000000000          0.0000000000
  4        447.0000000000         14.0003472608          0.5293023129          0.0000000000        273.0000000000          0.0000000000
  4        450.0000000000         14.0003472608          0.5299361388          0.0000000000        273.0000000000          0.0000000000
  4        453.0000000000         14.0003472608          0.5298776271          0.0000000000        273.0000000000          0.0000000000
  4        456.0000000000         14.0003472608          0.5003129055          0.0000000000        273.0000000000          0.0000000000
  5        222.0000000000          4.4651893710          2.3162656102          1.8699956995        296.7907619332          0.0000000000
  5        225.0000000000          3.0996470260         18.9389584243        285.2590673700        686.1287525908         -0.2306402130
  5        228.0000000000          2.9461326174         17.5707717944        355.9708679110        722.8198396836         -0.5368769311
  5        231.0000000000          3.0224466255         13.8221029320        209.7940376751        713.9765192207          0.5076542341
  5        234.0000000000          3.6023835096          5.6047674389         17.5509513998        562.9255286867          0.2503592300
  5        237.0000000000          3.9561403367         -1.6576745046          2.4961906252        432.7762353321          0.0637917924
  5        240.0000000000          4.3209632930         -1.7410453047          1.5078969958        332.5280115461         -5.8083072240
